location_tier,trainer_level,club_name,members_count,avg_monthly_fee,service_years,high_profit
Окраина/промзона,элита,Фитнес-хаус,1120,8782,13.7,1
Спальный район,средний,FlexForge Premium ВДНХ,749,5876,1.7,1
Окраина/промзона,элита,Качалка на районе,2261,10990,16.1,1
ТЦ/бизнес-центр,новички,Качалка у Палыча,591,6368,14.7,1
Окраина/промзона,средний,Элит-фитнес Рублёвка,2557,8486,22.4,1
Окраина/промзона,средний,FlexExpress Химки,2633,8362,16.4,1
Окраина/промзона,средний,IronFlex Pro,1580,5923,8.8,1
Окраина/промзона,новички,Заводной фитнес,1173,11950,24.2,1
Окраина/промзона,профи,Фитнес-хаус,539,8370,20.1,1
Спальный район,профи,Качалка на районе,2844,9659,15.8,1
ТЦ/бизнес-центр,профи,FlexForge Premium ВДНХ,956,3573,7.4,1
ТЦ/бизнес-центр,новички,FlexForge Light,1245,7670,9.4,1
Окраина/промзона,профи,Олимпийские надежды,2538,2201,16.8,1
Спальный район,профи,FlexForge Mini,2553,11611,1.9,1
Окраина/промзона,средний,FlexForge Mini,2881,9613,6.5,1
Спальный район,профи,Тонус-клуб Коломенская,2872,8325,17.9,1
ТЦ/бизнес-центр,средний,Тонус-клуб Коломенская,1138,9367,12.1,1
ТЦ/бизнес-центр,средний,Тяжёлый вес,1047,5764,10.1,1
Спальный район,элита,Домашний фитнес,641,9468,3.9,1
Спальный район,средний,Качалка на районе,2750,9646,11.1,1
ТЦ/бизнес-центр,средний,FlexForge Premium ВДНХ,329,9276,19.3,1
Спальный район,элита,Элит-фитнес Рублёвка,796,10058,6.7,1
ТЦ/бизнес-центр,профи,Тонус-клуб Коломенская,2158,10219,0.2,1
Спальный район,новички,FlexForge Basic Выхино,1705,6386,16.7,1
Спальный район,новички,Домашний фитнес,1061,5435,24.3,1
Окраина/промзона,новички,Ритм-фитнес Кунцево,2840,6119,15.2,1
Спальный район,профи,Элит-фитнес Рублёвка,1198,6691,3.1,1
Спальный район,средний,FlexForge Metro,2572,11845,8.1,1
ТЦ/бизнес-центр,новички,Элит-фитнес Рублёвка,2695,8375,21.7,1
ТЦ/бизнес-центр,элита,Лёгкая атлетика +,1751,11600,5.9,1
Спальный район,средний,FlexForge Premium ВДНХ,1840,9356,15.2,1
Спальный район,средний,Здоровая спина,1711,6901,10.1,1
Спальный район,средний,Адапт-фитнес,1936,4522,5.3,1
Спальный район,профи,Спартанец,2956,7238,20.4,1
Спальный район,новички,Спартанец,1649,7484,18.6,1
Окраина/промзона,средний,Тонус-клуб Коломенская,2057,3270,16.6,1
Окраина/промзона,профи,Тренерский центр,464,11469,6.0,0
ТЦ/бизнес-центр,средний,Фитнес-планета,2859,10489,2.5,1
Спальный район,средний,SportFlex Крылатское,2921,4715,14.4,1
ТЦ/бизнес-центр,средний,FlexForge Studio,1662,8194,13.9,1
ТЦ/бизнес-центр,новички,FlexForge Ultra,356,4476,4.8,1
Окраина/промзона,средний,SportFlex Крылатское,1645,5237,1.5,1
ТЦ/бизнес-центр,средний,Железная тяга,2498,11403,2.1,0
Спальный район,средний,FlexForge Light,1832,2252,24.8,1
Спальный район,новички,Ритм-фитнес Кунцево,2777,2892,19.6,1
Окраина/промзона,профи,FlexForge Studio,2574,8289,23.1,1
Спальный район,элита,Тонус-клуб Коломенская,1094,2177,5.0,1
ТЦ/бизнес-центр,профи,Заводной фитнес,2344,1605,24.0,1
Спальный район,элита,Лёгкая атлетика +,712,6253,3.7,1
Спальный район,средний,Качалка у Палыча,415,3446,12.8,0
ТЦ/бизнес-центр,элита,Ритм-фитнес Кунцево,2372,7044,20.8,1
Спальный район,средний,Элит-фитнес Рублёвка,1906,2595,8.8,1
ТЦ/бизнес-центр,элита,Фитнес-планета,2306,8485,10.7,1
ТЦ/бизнес-центр,элита,Лёгкая атлетика +,1767,3282,3.3,1
Спальный район,профи,Спартанец,2408,6041,3.2,1
ТЦ/бизнес-центр,элита,Ритм-фитнес Кунцево,2531,4757,15.5,1
Спальный район,профи,FlexExpress Химки,2353,7713,16.9,1
Спальный район,средний,Тонус-клуб Коломенская,1328,11689,19.5,1
Окраина/промзона,средний,Ритм-фитнес Кунцево,427,6369,14.0,1
ТЦ/бизнес-центр,профи,FlexForge Metro,2565,3061,16.2,1
ТЦ/бизнес-центр,новички,FlexForge Gym,1687,5506,0.4,1
ТЦ/бизнес-центр,профи,Тяжёлый вес,1001,11367,4.1,1
Спальный район,элита,Лёгкая атлетика +,1822,10814,24.6,1
Окраина/промзона,средний,SportFlex Крылатское,2105,5481,2.0,1
ТЦ/бизнес-центр,профи,Ритм-фитнес Кунцево,671,10993,17.0,1
Окраина/промзона,элита,Фитнес-планета,1279,7182,4.5,1
ТЦ/бизнес-центр,элита,SportFlex Крылатское,2872,7282,17.9,1
Спальный район,элита,FlexForge Gym,2260,2443,17.7,1
Окраина/промзона,средний,FlexExpress Химки,1241,6050,5.9,1
Окраина/промзона,элита,SportFlex Крылатское,2941,10637,6.8,1
Окраина/промзона,профи,Тренерский центр,2360,2100,16.4,1
Окраина/промзона,средний,Железная тяга,428,7876,9.8,0
Спальный район,средний,Ритм-фитнес Кунцево,370,11109,4.9,1
Окраина/промзона,профи,Волна здоровья,494,3024,18.3,1
ТЦ/бизнес-центр,средний,FlexForge Lux Патрики,388,5266,3.9,1
Окраина/промзона,профи,FlexForge Studio,625,1750,21.4,1
Спальный район,профи,Здоровая спина,1176,11236,12.9,1
Окраина/промзона,средний,Лёгкая атлетика +,1302,1578,2.7,1
Спальный район,профи,Элит-фитнес Рублёвка,2905,4623,17.4,1
Спальный район,профи,FlexForge Lux Патрики,1118,10589,13.0,1
Спальный район,средний,Здоровая спина,698,8564,7.5,1
Окраина/промзона,новички,FlexForge Light,2021,9917,10.6,1
ТЦ/бизнес-центр,новички,Волна здоровья,1065,2709,7.5,1
ТЦ/бизнес-центр,средний,Здоровая спина,1025,6653,6.6,1
ТЦ/бизнес-центр,элита,Лёгкая атлетика +,2058,6398,4.2,1
ТЦ/бизнес-центр,средний,Заводной фитнес,2318,3678,9.1,1
Окраина/промзона,профи,FlexForge Lux Патрики,2495,9110,6.3,1
ТЦ/бизнес-центр,средний,Тренерский центр,345,10395,17.1,1
Окраина/промзона,средний,FlexForge Gym,1841,4044,17.1,1
Спальный район,профи,Олимпийские надежды,1519,7022,12.6,1
ТЦ/бизнес-центр,профи,Ритм-фитнес Кунцево,2829,3870,19.5,1
Окраина/промзона,новички,Здоровая спина,669,4781,21.0,0
Спальный район,средний,FlexForge Gym,392,6210,14.5,1
Спальный район,новички,Качалка у Палыча,1291,1828,15.5,1
Спальный район,средний,Олимпийские надежды,2741,7079,7.1,1
Окраина/промзона,профи,Тонус-клуб Коломенская,251,5728,22.4,1
ТЦ/бизнес-центр,новички,Фитнес-планета,2610,8294,0.7,1
Окраина/промзона,средний,Тяжёлый вес,2020,1620,8.8,1
Окраина/промзона,средний,FlexForge Gym,2721,8249,18.1,1
Спальный район,элита,FlexForge Premium ВДНХ,2069,2464,2.1,1
ТЦ/бизнес-центр,элита,FlexForge Basic Выхино,2768,5724,4.7,1
Спальный район,новички,FlexForge Ultra,1986,5175,14.8,1
ТЦ/бизнес-центр,профи,IronFlex Pro,1654,7194,14.0,1
ТЦ/бизнес-центр,средний,Тонус-клуб Коломенская,2067,3576,18.5,1
Спальный район,средний,FlexForge Premium ВДНХ,2938,8365,20.3,1
Спальный район,профи,Качалка на районе,2779,7143,3.3,1
Окраина/промзона,элита,Тонус-клуб Коломенская,2207,10024,0.6,1
Окраина/промзона,элита,Фитнес-планета,1634,6749,17.3,1
Окраина/промзона,профи,IronFlex Pro,1039,2816,7.6,1
Спальный район,средний,FlexForge Ultra,440,2696,15.7,1
Спальный район,профи,FlexForge Lux Патрики,735,4670,3.8,1
Спальный район,средний,SportFlex Крылатское,1607,11121,11.8,1
Окраина/промзона,профи,Качалка на районе,282,1855,12.7,0
ТЦ/бизнес-центр,средний,Тяжёлый вес,1181,11218,14.7,1
Окраина/промзона,профи,Заводной фитнес,1150,1528,12.9,0
Спальный район,средний,Фитнес-хаус,810,2513,12.4,1
Спальный район,средний,IronFlex Pro,773,10519,8.4,1
Окраина/промзона,элита,Фитнес-планета,2533,3524,1.9,1
Спальный район,новички,Качалка на районе,1188,9990,2.3,1
Окраина/промзона,средний,Фитнес-планета,658,7339,10.9,1
Окраина/промзона,средний,Тренерский центр,2373,11557,9.0,1
Спальный район,новички,Олимпийские надежды,1722,7291,13.0,1
Спальный район,новички,FlexForge Light,2672,11803,7.7,1
Спальный район,средний,FlexForge Mini,2801,2254,17.2,1
Окраина/промзона,элита,FlexExpress Химки,2857,10461,21.6,1
ТЦ/бизнес-центр,средний,Качалка у Палыча,2184,5235,7.5,1
Спальный район,элита,Здоровая спина,1766,2738,4.9,1
Спальный район,профи,Фитнес-планета,2359,11905,3.0,1
Окраина/промзона,средний,Домашний фитнес,2649,3406,15.4,1
ТЦ/бизнес-центр,профи,FlexForge Studio,321,8899,11.2,1
Окраина/промзона,средний,FlexForge Basic Выхино,472,9461,4.8,1
Окраина/промзона,профи,Заводной фитнес,1517,11256,16.4,1
ТЦ/бизнес-центр,средний,Здоровая спина,597,10910,3.8,1
ТЦ/бизнес-центр,средний,Волна здоровья,2718,6101,13.9,1
Окраина/промзона,элита,Тонус-клуб Коломенская,1184,11049,13.2,1
ТЦ/бизнес-центр,элита,FlexForge Basic Выхино,1430,2960,18.4,1
Окраина/промзона,элита,Ритм-фитнес Кунцево,1333,9169,1.5,1
Спальный район,средний,Качалка у Палыча,1501,2916,22.2,1
ТЦ/бизнес-центр,профи,Фитнес-планета,2110,9266,17.6,1
Окраина/промзона,средний,Железная тяга,2816,2928,5.5,1
Спальный район,средний,Качалка у Палыча,1705,5878,4.7,1
Спальный район,средний,Здоровая спина,2116,9029,10.8,1
Спальный район,профи,Тяжёлый вес,1019,5974,20.5,1
Спальный район,средний,IronFlex Pro,2957,4571,21.1,1
ТЦ/бизнес-центр,средний,Лёгкая атлетика +,2156,2055,13.1,0
Спальный район,элита,Фитнес-хаус,2568,10047,21.5,0
Окраина/промзона,средний,Качалка у Палыча,378,3063,0.2,0
Спальный район,новички,Качалка на районе,1096,2540,1.0,1
Спальный район,новички,Заводной фитнес,2466,4186,22.8,1
Спальный район,элита,Спартанец,2172,4053,19.4,1
Окраина/промзона,средний,Качалка на районе,1751,3279,11.3,1
ТЦ/бизнес-центр,средний,Здоровая спина,691,1575,18.9,1
Окраина/промзона,профи,Фитнес-хаус,260,5826,23.9,0
Спальный район,профи,FlexExpress Химки,1277,7335,19.3,1
ТЦ/бизнес-центр,средний,Тренерский центр,1903,6557,21.1,1
ТЦ/бизнес-центр,профи,FlexForge Ultra,2785,3849,19.0,1
ТЦ/бизнес-центр,профи,Волна здоровья,264,4273,4.3,1
Спальный район,профи,Качалка на районе,785,3762,20.9,1
Спальный район,средний,Тренерский центр,1927,4729,5.0,1
Окраина/промзона,элита,FlexForge Lux Патрики,2418,11808,22.3,1
Спальный район,средний,Тренерский центр,734,1892,11.5,1
ТЦ/бизнес-центр,средний,IronFlex Pro,2940,2608,17.0,1
Спальный район,средний,Тренерский центр,2355,5862,12.5,1
Окраина/промзона,новички,IronFlex Pro,2070,6688,2.4,1
ТЦ/бизнес-центр,новички,FlexForge Premium ВДНХ,1204,10302,7.3,1
ТЦ/бизнес-центр,профи,FlexForge Studio,2699,6557,24.6,1
ТЦ/бизнес-центр,новички,FlexForge Mini,1429,5498,24.0,1
Окраина/промзона,средний,FlexExpress Химки,2837,10364,8.1,1
Спальный район,средний,Домашний фитнес,1239,8066,24.9,1
Спальный район,новички,Качалка у Палыча,526,5177,21.2,1
Окраина/промзона,элита,Здоровая спина,807,7296,15.3,1
Окраина/промзона,средний,Спартанец,2906,7863,1.1,1
Спальный район,средний,FlexForge Mini,201,9623,22.5,1
Окраина/промзона,средний,Волна здоровья,1233,9722,14.0,1
ТЦ/бизнес-центр,средний,Лёгкая атлетика +,2681,9190,21.7,1
ТЦ/бизнес-центр,новички,Волна здоровья,324,2900,20.9,0
Спальный район,профи,FlexForge Studio,1304,5571,20.8,1
ТЦ/бизнес-центр,элита,Спартанец,2732,10308,17.5,1
Спальный район,средний,Домашний фитнес,2899,4286,7.4,1
Окраина/промзона,профи,Адапт-фитнес,2061,8669,8.5,1
ТЦ/бизнес-центр,профи,FlexForge Premium ВДНХ,1373,2370,7.8,1
ТЦ/бизнес-центр,профи,Волна здоровья,328,5696,0.6,1
Спальный район,средний,SportFlex Крылатское,637,11104,14.6,1
Окраина/промзона,средний,Адапт-фитнес,950,4239,17.5,1
Спальный район,средний,Фитнес-хаус,2748,2440,21.4,1
Спальный район,профи,Здоровая спина,1421,1840,3.6,1
ТЦ/бизнес-центр,профи,Здоровая спина,2458,8922,13.7,1
ТЦ/бизнес-центр,средний,Олимпийские надежды,1101,5633,0.3,1
Окраина/промзона,средний,Волна здоровья,2292,2159,2.5,1
Окраина/промзона,элита,Фитнес-хаус,1502,11725,1.4,1
ТЦ/бизнес-центр,профи,Олимпийские надежды,2782,11252,18.2,1
Окраина/промзона,элита,FlexForge Mini,1633,4957,2.1,1
Спальный район,профи,Спартанец,2708,11348,17.9,1
Окраина/промзона,средний,Фитнес-планета,590,4475,6.3,0
Спальный район,профи,FlexForge Mini,1267,10741,22.0,1
Спальный район,профи,Здоровая спина,226,1953,20.3,1
Спальный район,новички,Железная тяга,747,11396,23.9,1
Спальный район,средний,SportFlex Крылатское,2868,9684,22.1,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,766,6942,23.3,1
ТЦ/бизнес-центр,средний,Элит-фитнес Рублёвка,903,2318,21.5,1
Спальный район,профи,IronFlex Pro,1442,6368,17.4,1
Окраина/промзона,профи,Качалка на районе,384,1512,4.3,0
ТЦ/бизнес-центр,элита,Фитнес-хаус,1790,9227,6.9,1
Спальный район,новички,Тренерский центр,2113,2420,5.4,1
Окраина/промзона,средний,FlexForge Lux Патрики,1047,6420,15.1,1
ТЦ/бизнес-центр,профи,Тяжёлый вес,798,3918,12.6,1
Спальный район,средний,FlexForge Ultra,1005,11006,21.7,1
Спальный район,профи,Спартанец,1557,7975,23.8,1
Окраина/промзона,профи,FlexForge Gym,2326,3517,10.2,1
ТЦ/бизнес-центр,новички,Качалка у Палыча,2826,9457,12.7,1
Спальный район,средний,FlexForge Studio,2078,10920,24.3,1
Окраина/промзона,средний,Тонус-клуб Коломенская,2660,6292,7.0,1
Окраина/промзона,средний,Тренерский центр,745,8330,19.8,1
Спальный район,элита,Качалка у Палыча,1832,3934,5.7,1
Спальный район,профи,Тонус-клуб Коломенская,2416,4368,17.1,1
Спальный район,профи,FlexForge Ultra,2928,2938,6.4,1
Окраина/промзона,профи,FlexForge Basic Выхино,2830,5043,22.1,1
Спальный район,средний,FlexForge Mini,2762,3281,14.1,1
ТЦ/бизнес-центр,элита,Волна здоровья,2279,7843,4.7,1
Окраина/промзона,профи,Лёгкая атлетика +,2534,3763,5.7,1
Спальный район,профи,Тонус-клуб Коломенская,2841,11661,12.4,1
Спальный район,элита,Тренерский центр,2126,1711,24.0,1
ТЦ/бизнес-центр,средний,Элит-фитнес Рублёвка,816,10199,19.3,1
Спальный район,профи,Адапт-фитнес,2517,7659,12.3,1
Спальный район,средний,Железная тяга,1403,8527,8.5,1
Спальный район,средний,Здоровая спина,1959,1831,13.8,1
ТЦ/бизнес-центр,средний,FlexForge Light,2765,8360,18.7,1
Спальный район,элита,Спартанец,2830,9544,19.6,1
Окраина/промзона,элита,Тренерский центр,425,9669,8.2,1
ТЦ/бизнес-центр,профи,Железная тяга,869,10242,18.1,1
Окраина/промзона,профи,Фитнес-планета,1963,7220,16.5,1
Спальный район,профи,Тяжёлый вес,1116,10633,24.0,1
Окраина/промзона,элита,FlexForge Light,2373,2227,23.3,1
Окраина/промзона,средний,SportFlex Крылатское,2321,6475,19.8,1
Спальный район,средний,Адапт-фитнес,1414,4743,18.1,1
Окраина/промзона,средний,Железная тяга,1905,2148,6.9,0
Окраина/промзона,профи,Заводной фитнес,2042,6595,21.2,1
Спальный район,профи,Тяжёлый вес,2183,8114,10.7,1
Спальный район,средний,IronFlex Pro,255,8635,6.9,1
Спальный район,новички,FlexExpress Химки,919,2509,9.7,0
Окраина/промзона,профи,FlexForge Premium ВДНХ,2800,3050,20.9,1
Окраина/промзона,новички,Тонус-клуб Коломенская,2279,10495,3.8,0
Окраина/промзона,профи,FlexForge Gym,773,8992,11.5,1
Спальный район,элита,Ритм-фитнес Кунцево,866,4901,12.4,1
Окраина/промзона,средний,Домашний фитнес,483,8947,1.0,1
ТЦ/бизнес-центр,средний,Элит-фитнес Рублёвка,1944,6924,5.0,1
Спальный район,профи,FlexForge Gym,2434,5741,20.7,1
ТЦ/бизнес-центр,профи,Качалка на районе,697,4661,20.8,1
Спальный район,средний,Качалка на районе,1665,5655,7.4,1
Спальный район,элита,FlexForge Metro,329,8978,21.9,1
Спальный район,новички,Здоровая спина,838,10219,19.3,1
Спальный район,средний,FlexForge Light,2361,10715,10.5,1
Спальный район,профи,Тяжёлый вес,2260,8117,18.7,1
Спальный район,элита,Тонус-клуб Коломенская,2691,7160,24.0,1
ТЦ/бизнес-центр,средний,Адапт-фитнес,2694,10124,11.5,1
Спальный район,профи,Адапт-фитнес,1185,2676,6.0,1
ТЦ/бизнес-центр,профи,FlexForge Studio,1192,9456,23.6,1
ТЦ/бизнес-центр,средний,FlexForge Gym,2962,10092,15.1,1
Спальный район,новички,Здоровая спина,2321,11796,2.7,1
Спальный район,элита,Домашний фитнес,2784,3733,14.4,1
Спальный район,средний,Заводной фитнес,300,6200,12.6,1
Спальный район,средний,FlexForge Metro,2423,7406,21.4,1
Спальный район,средний,Здоровая спина,626,9360,13.3,0
Окраина/промзона,элита,Спартанец,240,9026,6.5,1
